year,date,ccpue,ds_harv,harv,trueN,fcstN
2008,6/12,46,6000,13000,219709,244754
2008,6/19,160,18000,40000,219709,244754
2008,6/26,374,32000,71000,219709,244754
2008,7/4,539,36000,80000,219709,244754
2009,6/12,62,9000,20000,189370,219709
2009,6/19,232,21000,47000,189370,219709
2009,6/26,522,31000,69000,189370,219709
2009,7/4,650,34000,76000,189370,219709
2010,6/12,23,7000,16000,112975,189370
2010,6/19,193,17000,38000,112975,189370
2010,6/26,314,26000,58000,112975,189370
2010,7/4,393,30000,67000,112975,189370
2011,6/12,78,9000,20000,113749,112975
2011,6/19,229,17000,38000,113749,112975
2011,6/26,363,26000,58000,113749,112975
2011,7/4,490,29000,64000,113749,112975
2012,6/12,6,1000,2000,79238,113749
2012,6/19,50,3000,7000,79238,113749
2012,6/26,228,6000,13000,79238,113749
2012,7/4,334,9000,20000,79238,113749
2013,6/12,9,4000,9000,84311,79238
2013,6/19,89,16000,36000,84311,79238
2013,6/26,187,23000,51000,84311,79238
2013,7/4,226,24000,53000,84311,79238
2014,6/12,252,1000,2000,84326,84311
2014,6/19,421,3000,7000,84326,84311
2014,6/26,539,3000,7000,84326,84311
2014,7/4,618,4000,9000,84326,84311
2015,6/12,117,1000,2000,125058,84326
2015,6/19,259,5000,11000,125058,84326
2015,6/26,366,7000,16000,125058,84326
2015,7/4,484,8000,18000,125058,84326
2016,6/12,165,0,0,128855,125058
2016,6/19,278,8000,18000,128855,125058
2016,6/26,432,12000,27000,128855,125058
2016,7/4,542,14000,31000,128855,125058
2017,6/12,21,0,0,133267,128855
2017,6/19,72,2000,4000,133267,128855
2017,6/26,169,5000,11000,133267,128855
2017,7/4,279,7000,16000,133267,128855
